id,timestamp_utc,source_id,bess_id,quality,anomaly_score,health_state,anomaly_reason,pcs_phase_voltage_imbalance,pcs_phase_current_imbalance,pcs_dc_voltage_vs_bms_voltage_delta,pcs_dc_current_vs_bms_current_delta,pcs_soc_vs_bms_soc_delta,bms_temperature_spread,bms_cell_voltage_spread,pcs_phase_a_voltage,pcs_phase_b_voltage,pcs_phase_c_voltage,pcs_phase_a_current,pcs_phase_b_current,pcs_phase_c_current,pcs_dc_voltage,pcs_dc_current,pcs_grid_frequency,pcs_charge_discharge_power,pcs_total_active_power,pcs_soc,bms_cluster_total_voltage,bms_cluster_total_current,bms_can_hall_sampling_current,bms_display_soc,bms_soh,bms_cell_max_voltage,bms_cell_min_voltage,bms_battery_max_temperature,bms_battery_min_temperature,bms_average_temperature,bms_insulation_resistance,bms_pre_charge_total_voltage,pcs_fault_flag_count,bms_fault_flag_count,anomaly_score_ml,ml_predicted_anomaly
632861,2026-08-14T05:23:16.618623+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7279965530659042,True
632857,2026-08-14T05:23:14.628728+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7279965530659042,True
632863,2026-08-14T05:23:17.629344+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7279965530659042,True
632855,2026-08-14T05:23:13.618578+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7279965530659042,True
633471,2026-08-14T05:28:21.618634+00:00,external_ems_1,bess_1,good,0.4637,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 48.3,0.7,14.5,0.7,48.3,0.0,2.0,5.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,879.2,-35.1,-45.4,94.7,100.0,3382.0,3377.0,26.7,24.7,25.2,20000.0,855.9,0,0,0.7217010122479901,True
633473,2026-08-14T05:28:22.618578+00:00,external_ems_1,bess_1,good,0.4637,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 48.3,0.7,14.5,0.7,48.3,0.0,2.0,5.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,879.2,-35.1,-45.4,94.7,100.0,3382.0,3377.0,26.7,24.7,25.2,20000.0,855.9,0,0,0.7217010122479901,True
629891,2026-08-14T04:58:31.618584+00:00,external_ems_1,bess_1,good,0.4599,warning,PCS phase current imbalance high: 16.2; PCS DC current and BMS current mismatch: 47.9,0.1,16.2,0.4,47.9,0.0,1.8,3.0,239.5,239.4,239.4,110.6,102.8,119.0,877.9,-85.9,50.37,0.0,-84.9,89.6,877.5,-38.0,-44.9,89.6,100.0,3376.0,3373.0,26.6,24.8,25.2,20000.0,855.9,0,0,0.7215105546909506,True
629889,2026-08-14T04:58:30.618580+00:00,external_ems_1,bess_1,good,0.4599,warning,PCS phase current imbalance high: 16.2; PCS DC current and BMS current mismatch: 47.9,0.1,16.2,0.4,47.9,0.0,1.8,3.0,239.5,239.4,239.4,110.6,102.8,119.0,877.9,-85.9,50.37,0.0,-84.9,89.6,877.5,-38.0,-44.9,89.6,100.0,3376.0,3373.0,26.6,24.8,25.2,20000.0,855.9,0,0,0.7215105546909506,True
632337,2026-08-14T05:18:54.618584+00:00,external_ems_1,bess_1,good,0.3944,warning,PCS phase current imbalance high: 21.6; PCS DC current and BMS current mismatch: 43.3,1.5,21.6,1.7,43.3,0.0,1.9,4.0,238.3,236.8,238.0,99.2,84.2,105.8,881.9,-16.3,50.32,0.0,-26.4,93.5,880.2,-59.6,-52.8,93.5,100.0,3384.0,3380.0,26.7,24.8,25.3,20000.0,855.9,0,0,0.7205225864247267,True
632837,2026-08-14T05:23:04.628691+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,1.8,0.0,1.9,5.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-54.4,-54.6,93.9,100.0,3406.0,3401.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7200011256499759,True
