event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
448,external_ems_2,bess_2,warning,2026-08-18T07:30:13.618586+00:00,2026-08-18T07:47:49.628738+00:00,1056.01,1017,0.6913,bms_cell_voltage_spread;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch;pcs_phase_current_imbalance,BMS cell voltage spread high: 13.0,4.9,17.5,70.8,7.5,15.0,1.5,0.0,0.0
449,external_ems_2,bess_2,warning,2026-08-18T07:54:58.630011+00:00,2026-08-18T07:54:59.618964+00:00,0.989,2,0.5438,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.5; PCS DC current and BMS current mismatch: 53.7,2.8,1.7,53.7,5.5,2.0,1.5,0.0,0.0
450,external_ems_2,bess_2,warning,2026-08-18T07:56:53.630328+00:00,2026-08-18T07:56:57.618565+00:00,3.988,5,0.4762,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 49.7,1.3,3.9,49.7,5.0,2.0,1.6,0.0,0.0
451,external_ems_2,bess_2,warning,2026-08-18T08:00:53.618563+00:00,2026-08-18T08:00:57.619164+00:00,4.001,5,0.3848,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 44.0,0.7,0.4,44.0,2.9,2.0,1.7,0.0,0.0
452,external_ems_2,bess_2,warning,2026-08-18T08:04:47.618580+00:00,2026-08-18T08:04:53.619405+00:00,6.001,7,0.6586,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.5; PCS DC current and BMS current mismatch: 67.7,0.6,2.0,67.7,7.5,3.0,1.6,0.0,0.0
453,external_ems_2,bess_2,warning,2026-08-18T08:06:52.618580+00:00,2026-08-18T08:06:53.629670+00:00,1.011,2,0.6219,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.9; PCS DC current and BMS current mismatch: 58.4,0.7,1.5,58.4,5.9,3.0,1.6,0.0,0.0
454,external_ems_2,bess_2,warning,2026-08-18T08:12:42.628730+00:00,2026-08-18T08:12:46.618569+00:00,3.99,5,0.4458,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 47.8,0.6,0.3,47.8,4.6,5.0,1.6,0.0,0.0
455,external_ems_2,bess_2,warning,2026-08-18T08:14:36.630149+00:00,2026-08-18T08:14:40.618691+00:00,3.989,5,0.3864,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 44.1,0.4,1.6,44.1,4.3,6.0,1.6,0.0,0.0
456,external_ems_2,bess_2,warning,2026-08-18T08:17:14.618570+00:00,2026-08-18T08:17:18.618577+00:00,4.0,5,0.6538,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.8; PCS DC current and BMS current mismatch: 75.6,0.6,0.4,75.6,6.8,5.0,1.6,0.0,0.0
457,external_ems_2,bess_2,warning,2026-08-18T08:21:12.618576+00:00,2026-08-18T08:21:13.629864+00:00,1.011,2,0.5814,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.6; PCS DC current and BMS current mismatch: 56.0,3.8,3.7,56.0,5.6,7.0,1.6,0.0,0.0
458,external_ems_2,bess_2,warning,2026-08-18T08:23:12.618579+00:00,2026-08-18T08:23:13.629961+00:00,1.011,2,0.6593,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.6; PCS DC current and BMS current mismatch: 75.4,2.4,4.6,75.4,7.6,8.0,1.6,0.0,0.0
459,external_ems_2,bess_2,warning,2026-08-18T08:29:52.618533+00:00,2026-08-18T08:40:18.628727+00:00,626.01,585,0.6733,bms_cell_voltage_spread;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,BMS cell voltage spread high: 13.0,4.6,4.9,61.5,6.2,15.0,1.8,0.0,0.0
460,external_ems_2,bess_2,warning,2026-08-18T08:47:40.619542+00:00,2026-08-18T08:47:41.618578+00:00,0.999,2,0.6759,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 10.0; PCS DC current and BMS current mismatch: 75.7,0.7,1.9,75.7,10.0,2.0,1.6,0.0,0.0
461,external_ems_2,bess_2,warning,2026-08-18T08:49:34.618580+00:00,2026-08-18T08:49:39.618578+00:00,5.0,6,0.4641,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC current and BMS current mismatch: 46.5,0.5,0.7,48.9,5.1,2.0,1.7,0.0,0.0
462,external_ems_2,bess_2,warning,2026-08-18T08:51:29.619226+00:00,2026-08-18T08:51:41.618586+00:00,11.999,6,0.5889,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC current and BMS current mismatch: 43.4,0.5,1.6,56.3,6.0,3.0,1.8,0.0,0.0
463,external_ems_2,bess_2,warning,2026-08-18T08:55:28.618586+00:00,2026-08-18T08:55:29.618583+00:00,1.0,2,0.6759,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 10.1; PCS DC current and BMS current mismatch: 76.5,2.7,4.9,76.5,10.1,2.0,1.7,0.0,0.0
464,external_ems_2,bess_2,warning,2026-08-18T08:57:22.630287+00:00,2026-08-18T08:57:27.618648+00:00,4.988,6,0.6483,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC current and BMS current mismatch: 59.0,1.0,3.8,69.4,6.0,2.0,1.8,0.0,0.0
465,external_ems_2,bess_2,warning,2026-08-18T08:59:18.629150+00:00,2026-08-18T08:59:30.629835+00:00,12.001,6,0.6566,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.5; PCS DC current and BMS current mismatch: 47.7,2.5,2.4,62.9,7.2,2.0,1.8,0.0,0.0
466,external_ems_2,bess_2,warning,2026-08-18T09:02:51.619398+00:00,2026-08-18T09:03:24.618582+00:00,32.999,13,0.4249,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS DC current and BMS current mismatch: 46.5,0.7,23.5,46.5,4.7,3.0,1.9,0.0,0.0
467,external_ems_2,bess_2,warning,2026-08-18T09:05:18.618588+00:00,2026-08-18T09:05:21.618587+00:00,3.0,4,0.3848,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 44.0,0.4,0.4,44.0,4.1,3.0,1.8,0.0,0.0
468,external_ems_2,bess_2,warning,2026-08-18T09:07:13.618614+00:00,2026-08-18T09:07:16.618560+00:00,3.0,4,0.6497,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.2; PCS DC current and BMS current mismatch: 60.4,0.6,2.7,60.4,6.2,3.0,1.8,0.0,0.0
